#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2002-01-05, 21:01:54
# Real time (s): 1213075.660
# Live time (s): 1209818.120
#
# Total counts:  221428538
#
# Left marker:  20 (7.086 keV)
# Right marker: 50 (17.695 keV)
# Counts:       4574772
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.012663
#     A1: 0.353645
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
763	269.844	78817	0.0651478
764	270.197	78600	0.0649684
765	270.551	78788	0.0651238
766	270.905	77706	0.0642295
767	271.258	77957	0.064437
768	271.612	77379	0.0639592
769	271.966	78002	0.0644742
770	272.319	76745	0.0634352
771	272.673	77171	0.0637873
772	273.027	77086	0.063717
773	273.380	76794	0.0634757
774	273.734	76666	0.0633699
775	274.088	76332	0.0630938
776	274.441	76135	0.0629309
777	274.795	75219	0.0621738
778	275.148	75411	0.0623325
779	275.502	75350	0.0622821
780	275.856	75427	0.0623457
781	276.209	74995	0.0619887
782	276.563	74489	0.0615704
783	276.917	74803	0.06183
784	277.270	74403	0.0614993
785	277.624	74249	0.061372
786	277.978	74081	0.0612332
787	278.331	73629	0.0608596
788	278.685	74024	0.0611861
789	279.039	73325	0.0606083
790	279.392	72890	0.0602487
791	279.746	73073	0.0604
792	280.100	72556	0.0599727
793	280.453	72359	0.0598098
794	280.807	72337	0.0597916
795	281.160	71847	0.0593866
796	281.514	71859	0.0593965
797	281.868	71880	0.0594139
798	282.221	71526	0.0591213
799	282.575	70750	0.0584799
800	282.929	70941	0.0586377
801	283.282	70897	0.0586014
802	283.636	70612	0.0583658
803	283.990	69910	0.0577855
804	284.343	70510	0.0582815
805	284.697	70083	0.0579285
806	285.051	69804	0.0576979
807	285.404	69683	0.0575979
808	285.758	69812	0.0577045
809	286.111	69517	0.0574607
810	286.465	68859	0.0569168
811	286.819	69186	0.0571871
812	287.172	69288	0.0572714
813	287.526	68539	0.0566523
814	287.880	68669	0.0567598
815	288.233	68591	0.0566953
816	288.587	68198	0.0563705
817	288.941	68443	0.056573
818	289.294	68123	0.0563085
819	289.648	67999	0.056206
820	290.002	68173	0.0563498
821	290.355	67604	0.0558795
822	290.709	67255	0.055591
823	291.063	67451	0.055753
824	291.416	67657	0.0559233
825	291.770	66736	0.055162
826	292.123	66929	0.0553215
827	292.477	66670	0.0551075
828	292.831	66694	0.0551273
829	293.184	66433	0.0549116
830	293.538	66510	0.0549752
831	293.892	66352	0.0548446
832	294.245	65618	0.0542379
833	294.599	65538	0.0541718
834	294.953	66246	0.054757
835	295.306	66055	0.0545991
836	295.660	65695	0.0543016
837	296.014	65560	0.05419
838	296.367	64772	0.0535386
839	296.721	64691	0.0534717
840	297.074	64703	0.0534816
841	297.428	64818	0.0535766
842	297.782	64465	0.0532849
843	298.135	64216	0.0530791
844	298.489	64223	0.0530848
845	298.843	63878	0.0527997
846	299.196	64836	0.0535915
847	299.550	63980	0.052884
848	299.904	63805	0.0527393
849	300.257	63712	0.0526625
850	300.611	63663	0.052622
851	300.965	63408	0.0524112
852	301.318	63223	0.0522583
853	301.672	63038	0.0521054
854	302.026	63257	0.0522864
855	302.379	62894	0.0519863
856	302.733	62638	0.0517747
857	303.086	62701	0.0518268
858	303.440	62244	0.0514491
859	303.794	62738	0.0518574
860	304.147	62461	0.0516284
861	304.501	62088	0.0513201
862	304.855	61589	0.0509077
